,Name,Score,Score_Rank,Popularity_Rank,Members,Favorites,Studio,episodes,Genres,Theme(s),Demographic,rating,duration,platform,aired_time,overview,related_animes,caracter_name,hero,sup_heros,supporters,Adaptation,Prequel,Alternative_version,Side_story,Sequel
894,Lupin III: The First,7.82,895,3790,29622,158,TMS Entertainment,1,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,PG-13 - Teens 13 or older,1 hr. 32 min.,Movie,Dec 6/2019,"The iconic ""gentleman thief"" Lupin III returns in an action-packed, continent-spanning adventure, as Lupin III and his colorful underworld companions race to uncover the secrets of the mysterious Bresson Diary, before it falls into the hands of a dark cabal that will stop at nothing to resurrect the Third Reich. The gang undertakes trap-filled tombs, aerial escapades, and daring prison escapes with the trademark wit and visual finesse that have made Lupin the 3rd one of the most storied animation franchises in the world, in a thrilling new caper that is sure to delight fans old and new.(Source: GKIDS, edited)",{'Parent story': 'Lupin III'},"{'Arsene Lupin III': 'Main', 'Daisuke Jigen': 'Main', 'Fujiko Mine': 'Main', 'Goemon Ishikawa XIII': 'Main', 'Kouichi Zenigata': 'Main'}",Arsene Lupin III,"['Daisuke Jigen', 'Fujiko Mine', 'Goemon Ishikawa XIII', 'Kouichi Zenigata']",[],,,,,
895,Mahoujin Guruguru (2017),7.82,896,3644,31882,244,Production I.G,24,"Adventure, Comedy, Fantasy",Parody,Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Jul 11/2017 to Dec 20/2017,"Nike was a simple boy from Boering Village, and the last thing he ever wanted was to become a hero. But when a sign appears from the king of Ainshent Castle Town recruiting heroes to slay the Demon Lord Giri, Nike father enthusiastically forces him out the door. Along with Kukuri, a member of the Migu Migu Clan, Nike sets out on an adventure to become the legendary hero that the world needs.As Nike and Kukuri travel across different continents, they attempt to learn the secrets of Guru Guru Magic, a strange but powerful type of magic used to seal Demon Lord Giri power. While reluctantly taking on their assigned quest, the duo does not fail to acquire new comrades and have fun along the way.","{'Adaptation': 'Mahoujin Guruguru', 'Alternative version': 'Mahoujin Guruguru', 'Other': 'Guruguru Petit Anime Gekijou'}","{'Udberg Eldol': 'Main', 'Jujuku Shunamur': 'Main'}",Udberg Eldol,['Jujuku Shunamur'],[],Mahoujin Guruguru,,Mahoujin Guruguru,,
896,Princess Connect! Re:Dive Season 2,7.82,897,1726,115166,808,CygamesPictures,12,"Adventure, Comedy, Fantasy, Gourmet",Parody,Shounen,PG-13 - Teens 13 or older,23 min. ,TV,Jan 11/2022 to Mar 29/2022,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki memories, Karyl allegiance, and Pecorine heritage begin to come together—seemingly forming the truth that makes up the world very foundation.",{'Prequel': 'Princess Connect! Re:Dive'},{},,,[],,Princess Connect! Re:Dive,,,
897,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.82,898,2518,63809,80,Wit Studio,1,"Action, Drama","Gore, Survival",Shounen,R - 17+ (violence & profanity),2 hr.,Movie,Jan 13/2018,"Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.","{'Prequel': 'Shingeki no Kyojin Movie 2__Jiyuu no Tsubasa', 'Alternative version': 'Shingeki no Kyojin Season 2'}","{'Eren Yeager': 'Main', 'Mikasa Ackerman': 'Main', 'Armin Arlert': 'Main', 'Reiner Braun': 'Main', 'Erwin Smith': 'Supporting', 'Hange Zoë': 'Supporting', 'Sasha Blouse': 'Supporting', 'Jean Kirstein': 'Supporting', 'Annie Leonhart': 'Supporting'}",Eren Yeager,"['Mikasa Ackerman', 'Armin Arlert', 'Reiner Braun']","['Erwin Smith', 'Hange Zoë', 'Sasha Blouse', 'Jean Kirstein', 'Annie Leonhart']",,Shingeki no Kyojin Movie 2__Jiyuu no Tsubasa,Shingeki no Kyojin Season 2,,
898,Somali to Mori no Kamisama,7.82,899,805,274106,1582,Satelight,12,"Adventure, Drama, Fantasy","Childcare, Mythology",Shounen,PG-13 - Teens 13 or older,23 min. ,TV,Jan 10/2020 to Mar 27/2020,"In a world inhabited by demons, cyclopes, and other fantastic creatures, humans stand apart as the outcasts. Quick to anger, the human race engaged in a war that all but wiped them out. The few humans that remain are seen as a delicacy, serving no purpose but to be hunted down and eaten.One day, Golem, a wandering protector of nature, encounters a lone human child while patrolling. Inspired by her enthusiasm, he takes the girl, named Somali, under his wing. Together, the duo embarks on a journey to find Somali parents and bring her home.",{'Adaptation': 'Somali to Mori no Kamisama'},{},,,[],Somali to Mori no Kamisama,,,,
899,There She Is!!,7.82,900,4161,24256,157,unknown,5,"Comedy, Romance",Anthropomorphic,Shounen,G - All Ages,4 min. ,ONA,Apr 20/2003 to Dec 9/2008,"The plot revolves around Doki, a female rabbit, meeting, falling in love with, and chasing Nabi, a male cat, in a world where love between the two species is socially unacceptable. The theme of the short is that all love can be accepted and has a chance. Nabi attempts to cure Doki infatuation for him, but after seeing the extent of her love, he gives in and finds something he can appreciate in her.(Source: Wikipedia)",{'Adaptation': 'Somali to Mori no Kamisama'},{},,,[],Somali to Mori no Kamisama,,,,
900,Kuroko no Basket: Tip Off,7.81,901,1903,100396,83,Production I.G,1,"Comedy, Romance","School, Team Sports",Shounen,PG-13 - Teens 13 or older,25 min.,Special,Feb 22/2013,"Episode 22.5 bundled with BD/DVD volume 8.The episode covers Kuroko past, when he was part of the ""Generation of Miracles.""","{'Adaptation': 'Kuroko no Basket', 'Sequel': 'Kuroko no Basket'}","{'Tetsuya Kuroko': 'Main', 'Ryouta Kise': 'Main', 'Daiki Aomine': 'Supporting', 'Seijuurou Akashi': 'Supporting', 'Shintarou Midorima': 'Supporting', 'Atsushi Murasakibara': 'Supporting', 'Satsuki Momoi': 'Supporting'}",Tetsuya Kuroko,['Ryouta Kise'],"['Daiki Aomine', 'Seijuurou Akashi', 'Shintarou Midorima', 'Atsushi Murasakibara', 'Satsuki Momoi']",Kuroko no Basket,,,,Kuroko no Basket
901,Let You Down,7.81,902,6770,7376,24,Studio Massket,1,"Action, Sci-Fi","School, Team Sports",Shounen,PG-13 - Teens 13 or older,4 min.,No information provided by MAL,Sep 12/2022,Music video for the song Let You Down by Dawid Podsiadło.This song also serves as the ending theme for the anime Cyberpunk: Edgerunners.,{'Other': 'Cyberpunk__Edgerunners'},{'Sasha Yakovleva': 'Main'},Sasha Yakovleva,[],[],,,,,
902,Lupin the IIIrd: Jigen Daisuke no Bohyou,7.81,903,3929,27480,86,Telecom Animation Film,1,"Action, Adventure, Drama",Adult Cast,Seinen,R+ - Mild Nudity,51 min.,Movie,Jun 21/2014,"The film will be a continuation spinoff of the 2012 ""Lupin III: The Woman Called Fujiko Mine"" television anime series.Lupin and Jigen have their sights set on a treasure worth stealing called the Little Comet which is located in the country of East Doroa. The country has fortified its border after a singer named Queen Malta got assassinated in the neighboring country of West Doroa upon visit.Despite the two countries being enemies, Lupin and Jigen still plan to steal the treasure. During the heist, Jigen almost got killed by a skilled sniper named Yael Okuzaki. His specialty is preparing tombstones for his targets before executing his kills. Its said that no one has survived after Yael makes a grave for that target.(Source: ANN)","{'Prequel': 'Lupin the Third__Mine Fujiko to Iu Onna', 'Sequel': 'Lupin the IIIrd__Chikemuri no Ishikawa Goemon'}","{'Arsene Lupin III': 'Main', 'Daisuke Jigen': 'Main', 'Okuzaki Yael': 'Main', 'Fujiko Mine': 'Supporting', 'Kouichi Zenigata': 'Supporting'}",Arsene Lupin III,"['Daisuke Jigen', 'Okuzaki Yael']","['Fujiko Mine', 'Kouichi Zenigata']",,Lupin the Third__Mine Fujiko to Iu Onna,,,Lupin the IIIrd__Chikemuri no Ishikawa Goemon
903,Maria-sama ga Miteru 3rd,7.81,904,4352,21838,87,Studio Deen,5,"Drama, Girls Love",School,Seinen,PG-13 - Teens 13 or older,50 min. ,OVA,Dec 29/2006 to Jul 25/2007,"Summer has arrived, and the students of Lillian Girls' Academy are on break! Yumi and Sachiko head out to the Ogasawara family summer home, but what was supposed to be a relaxing vacation takes a turn for the worse when some of Sachiko old acquaintances drop by for tea. These rich and snobby debutantes don't think Yumi is worthy of Sachiko affection and they're out to make this summer one she'll regret.(Source: RightStuf)","{'Adaptation': 'Maria-sama ga Miteru', 'Prequel': 'Maria-sama ga Miteru__Haru', 'Side story': 'Maria-sama ga Miteru 3rd Specials', 'Sequel': 'Maria-sama ga Miteru 4th'}","{'Sachiko Ogasawara': 'Main', 'Yumi Fukuzawa': 'Main', 'Shimako Toudou': 'Main', 'Touko Matsudaira': 'Main', 'Yoshino Shimazu': 'Main', 'Rei Hasekura': 'Main', 'Noriko Nijou': 'Main', 'Kanako Hosokawa': 'Main', 'Sei Satou': 'Supporting', 'Shizuka Kanina': 'Supporting'}",Sachiko Ogasawara,"['Yumi Fukuzawa', 'Shimako Toudou', 'Touko Matsudaira', 'Yoshino Shimazu', 'Rei Hasekura', 'Noriko Nijou', 'Kanako Hosokawa']","['Sei Satou', 'Shizuka Kanina']",Maria-sama ga Miteru,Maria-sama ga Miteru__Haru,,Maria-sama ga Miteru 3rd Specials,Maria-sama ga Miteru 4th
